Speciality|Service
Dentist|Dentist Consultation + Xray (Single Film)
Dentist|Dentist Consultation + Xray (Full Mouth)
Dentist|Amalgam Fillings
Dentist|Composite Fillings
Dentist|Procelian / Ceramic Fillings
Dentist|Gold Fillings
Dentist|Glass Ionomer
Dentist|ROOT CANAL TREATMENT
Dentist|WISDOM TEETH REMOVAL / IMPACTION
Dentist|Metal Conventional Braces
Dentist|Metal Self Ligating Braces
Dentist|Ceramic Conventional Braces
Dentist|Lingual Braces
Dentist|Aligners
Dentist|Endosteal Implants
Dentist|Subperiosteal Implant
Dentist|Porcelain dentures
Dentist|Acrylic resin dentures
Dentist|Metal Crown
Dentist|Zirconia Crown
Dentist|Porcelain fused to metal (PFM)
Dentist|Porcelain fused to zirconia
Dentist|Ceramic Crown
Dentist|Traditional bridges
Dentist|Cantilever bridges
Dentist|Maryland bonded bridges
Dentist|SMILE MAKEOVER
Dentist|Veneers
Dentist|Teeth Whitening
Dentist|Composite Bonding
Dentist|Dental Implants
Dentist|Flap Surgery
Dentist|Bone Graft
Dentist|Soft Tissue Graft
Dentist|Guided Tissue Regeneration
Dentist|Pit and fissure sealants
Dentist|Fluoride application
Dentist|Enameloplasty
Dentist|Oral prophylaxis
Dentist|SCALING & POLISHING
Dentist|TOOTH EXTRACTION
Psychologist|undefined
Psychologist|Intellectual Assessment
Psychologist|Learning disabilities Assessment
Psychologist|Autism Assessment
Psychologist|Attention Deficit/Hyperactivity Disorder
Psychologist|Personality Assessment
Psychologist|Neuropsychological Assessment
Psychologist|Psychotherapy
Psychologist|Stress Management
Psychologist|Asperger’s Syndrome
Psychologist|Conduct Disorder
Psychologist|Dermatoglyphics Multiple Intelligence Test (DMIT)
Psychologist|Psychometric Tests
Psychologist|Personality Tests
Psychologist|Aptitude Tests
Psychologist|Intelligence (IQ) Tests
Psychologist|Brain Wave Therapy
Psychologist|Hypnotism
Psychologist|Sleep Induction
Psychologist|Adult Counseling
Psychologist|Student Counseling
Psychologist|Adolescent Counseling
Psychologist|Pre-Marital Counseling
Psychologist|Marriage Counseling
Psychologist|Divorce Counseling
Psychologist|Family Counseling
Gynaecologist|Gynaecologist Consultation
Gynaecologist|Bartholins Cyst / Abscess Surgery
Gynaecologist|Separation Of Labial Fusion
Gynaecologist|Fenton's Procedure
Gynaecologist|Simple Excision Vulvar Lesion
Gynaecologist|Vulva - Radical Excision
Gynaecologist|Cautery or Laser Destruction of Vulvar Warts
Gynaecologist|Vulvar Biopsy
Gynaecologist|Episiotomy Scar Repair
Gynaecologist|Anterior Colporrhaphy
Gynaecologist|Posterior Colporrhaphy
Gynaecologist|Repair of Enterocele
Gynaecologist|Repair of Vaginal Vault
Gynaecologist|Sacrocolpopexy
Gynaecologist|Trans abdominal repair
Gynaecologist|Vesicovaginal fistula repair
Gynaecologist|Excision Of Vaginal Lesion
Gynaecologist|Laparoscopic colposuspension
Gynaecologist|Vaginal reconstruction
Gynaecologist|Cervical amputation
Gynaecologist|Vaginal hysterectomy
Gynaecologist|Cervical Biopsy
Gynaecologist|Cervix Cauterization
Gynaecologist|Cervical polypectomy
Gynaecologist|Large loop excision of the transformation zone
Gynaecologist|Cone Biopsy
Gynaecologist|Laser Ablation
Gynaecologist|Dilation and curettage (D and C)
Gynaecologist|Endometrial Biopsy
Gynaecologist|Laparoscopic uterine nerve ablation
Gynaecologist|Intrauterine Device (IUD)
Gynaecologist|Abdominal Hysterectomy
Gynaecologist|Abdominal myomectomy
Gynaecologist|Laparoscopic myomectomy
Gynaecologist|Hysteroscopy myomectomy
Gynaecologist|Laparoscopic Sterilization
Gynaecologist|Essure sterilization
Gynaecologist|Hysteroscopy Sterilization
Gynaecologist|Laparotomy
Gynaecologist|Ovarian cyst removal
Gynaecologist|Unilateral Laparoscopic Oophorectomy
Gynaecologist|Bilateral Laparoscopic Oophorectomy
Gynaecologist|Laparoscopic Ovarian Drilling (Ovarian Diathermy) for PCOS
Gynaecologist|Salpingostomy
Gynaecologist|Imperforate Hymen Treatment
Gynaecologist|Adhesiolysis
Gynaecologist|Cesarean / C Section
Dermatologist|Dermatologist Consultation
Dermatologist|Platelet-Rich Plasma (PRP)
Dermatologist|Laser hair reduction
Dermatologist|Radiofrequency
Dermatologist|Botox
Dermatologist|Dermabrasion
Dermatologist|Atopic Dermatitis Treatment
Dermatologist|Dermaroller
Dermatologist|Anti Aging Treatment
Dermatologist|Pediatric Dermatology
Dermatologist|Aqua Therapies
Dermatologist|Skin Boosters and Fillers
Dermatologist|Q Switch Laser
Dermatologist|Fractional Laser
Dermatologist|Dermaroller
Dermatologist|Facial Rejuvenation Treatment
Dermatologist|Medi-facial
Dermatologist|vitiligo surgery
